certification_course,gender,department,height_cm,weight_kg,10th_mark,12th_mark,college_mark,daily_studing_time,prefer_to_study_in,salary_expectation,do_you_like_your_degree,willingness_to_pursue_a_career_based_on_their_degree,social_medai_video,travelling_time,stress_level,financial_status,part_time_job,bmi,academic_average
0,Male,BCA,0.9093333333333333,0.5232558139534884,76.0,70.0,7.5,1 - 2 Hour,Morning,6.0,0,50%,1 - 1.30 hour,,,good,0,0.0005773386112681925,0.20793346129238632
1,Male,BCA,0.8826666666666666,0.5813953488372093,80.0,70.0,70.0,3 - 4 hour,Night,6.0,0,100%,More than 2 hour,,,good,1,0.000721899574577469,0.6333973128598847
1,Male,BCA,0.9359999999999999,0.6976744186046512,91.0,73.3,85.0,30 - 60 minute,Morning,6.0,1,100%,30 - 60 Minute,,,good,0,0.0007445658104903916,0.8208573256557903
1,Female,BCA,0.0,0.2558139534883721,85.0,90.0,85.0,30 - 60 minute,Anytime,6.0,1,100%,1 - 1.30 hour,,,Awful,0,1.0,0.889315419065899
1,Male,BCA,0.8826666666666666,0.5813953488372093,80.0,60.0,80.0,2 - 3 hour,Night,6.0,1,75%,30 - 60 Minute,,,good,0,0.000721899574577469,0.6333973128598847
0,Male,BCA,0.9253333333333332,0.7325581395348837,85.8,63.66,80.0,0 - 30 minute,Anytime,6.0,1,75%,1.30 - 2 hour,,,good,0,0.0008171524727996142,0.6939219449776071
0,Male,BCA,0.9359999999999999,0.5465116279069767,80.0,70.0,60.0,0 - 30 minute,Anytime,6.0,1,25%,1 - 30 Minute,,,good,0,0.0005510270642975486,0.5694177863083814
0,Female,BCA,0.7759999999999999,0.32558139534883723,75.0,50.0,78.0,0 - 30 minute,Night,6.0,1,50%,1 - 1.30 hour,,,Bad,0,0.0005825887675228428,0.524632117722329
1,Female,BCA,0.8826666666666666,0.34883720930232565,95.0,75.0,85.0,2 - 3 hour,Anytime,6.0,1,50%,1 - 1.30 hour,,,good,0,0.0003880877365871513,0.857325655790147
1,Female,BCA,0.84,0.5232558139534884,95.0,85.0,86.0,1 - 2 Hour,Night,6.0,1,50%,1.30 - 2 hour,,,good,0,0.000748241760085697,0.927703134996801
1,Male,BCA,0.8826666666666666,0.5232558139534884,90.0,64.0,80.0,30 - 60 minute,Anytime,6.0,1,75%,1 - 30 Minute,,,Bad,0,0.0006384466150798896,0.7229686500319896
1,Male,BCA,0.7919999999999999,0.5,79.4,61.33,80.87,1 - 2 Hour,Anytime,6.0,1,75%,1.30 - 2 hour,,,Bad,0,0.000851715289351481,0.6436340371081255
0,Male,BCA,0.856,0.7441860465116279,90.0,74.0,74.0,30 - 60 minute,Anytime,6.0,1,75%,30 - 60 Minute,,,Bad,0,0.0010418255757808613,0.7485604606525911
0,Male,BCA,0.8453333333333333,0.4651162790697675,77.0,70.0,60.0,2 - 3 hour,Anytime,6.0,1,75%,30 - 60 Minute,,,good,0,0.0006428534238485711,0.5502239283429302
1,Male,BCA,0.952,0.6976744186046512,80.0,60.0,70.0,0 - 30 minute,Anytime,6.0,1,50%,1 - 30 Minute,,,Bad,0,0.0007058364560334272,0.5694177863083814
1,Male,BCA,0.9093333333333333,0.7558139534883721,90.0,57.0,68.0,1 - 2 Hour,Anytime,6.0,1,100%,0 Minute,,,Bad,0,0.0008923479865472186,0.6014075495841331
1,Male,BCA,0.8079999999999999,0.38372093023255816,84.0,63.0,70.0,0 - 30 minute,Morning,6.0,1,50%,More than 2 hour,,,Bad,0,0.0006040586187846177,0.6142034548944337
1,Male,BCA,0.7973333333333333,0.34883720930232565,86.0,68.0,70.0,30 - 60 minute,Anytime,6.0,1,100%,1 - 1.30 hour,,,Bad,1,0.0005705047301929245,0.6589891234804863
1,Female,BCA,0.8933333333333333,0.33720930232558144,94.0,69.0,85.0,30 - 60 minute,Anytime,6.0,1,50%,30 - 60 Minute,,,good,0,0.0003524882115445792,0.8125399872040946
1,Male,BCA,0.8026666666666666,0.37209302325581395,69.0,54.0,50.0,30 - 60 minute,Anytime,6.0,1,50%,30 - 60 Minute,,,good,0,0.0005975798484414284,0.3326935380678182
1,Male,BCA,0.8933333333333333,0.6046511627906976,85.0,64.0,80.0,0 - 30 minute,Morning,6.0,0,75%,1 - 30 Minute,,,Bad,0,0.0007274962035540508,0.6909788867562379
0,Male,BCA,0.9413333333333332,0.4651162790697675,88.0,88.0,80.0,1 - 2 Hour,Anytime,6.0,0,50%,30 - 60 Minute,,,Awful,1,0.0004369709297973264,0.8637236084452973
0,Male,BCA,0.7759999999999999,0.5232558139534884,85.0,50.0,70.0,30 - 60 minute,Anytime,6.0,1,75%,1.30 - 2 hour,,,Bad,0,0.0009470371141998273,0.5374280230326294
