branch,marks_10th,marks_12th,gender,board10th,board12th,category,rank,normalized_rank,cgpa,current_back,ever_back,olympiads_qualified,technical_projects,tech_quiz,engg_coaching,ntse_scholarships,miscellany_tech_events,average_gpa,engagement_score,gpa_cgpa_ratio,academic_performance_index,total_backlogs
cse,0.8554778554778557,0.4120906801007558,male,cbse,cbse,gen,40000,0.5122398909586553,0.1955128205128204,0,9,1,1,1,1,1,0,0.0120223192981167,0.2857142857142857,0.0175271011490702,0.1378642481964747,9
cse,1.0,0.6448362720403027,female,c.b.s.e.,c.b.s.e.,obc,46737,0.6346751476601545,0.6602564102564104,0,0,1,1,1,1,0,0,0.0376638155721155,0.3428571428571428,0.0221269561646671,0.4724418487691909,0
cse,0.8321678321678325,0.6700251889168769,female,cbse,cbse,obc,67894,1.0,0.653846153846154,0,0,1,1,0,1,0,0,0.0400866341176902,0.0857142857142857,0.0129181600396658,0.4697213186567597,0
cse,0.9160839160839164,0.332493702770781,male,cbse,cbse,gen,29203,0.3160199909132212,0.0737179487179489,0,3,1,1,1,1,0,0,0.0049190558349546,0.3428571428571428,0.0190250213626983,0.0499202424699556,3
cse,0.8974358974358978,0.4987405541561711,male,cbse,cbse,gen,25768,0.253593820990459,0.2083333333333332,0,1,1,1,1,0,1,0,0.0126647333064131,0.1999999999999999,0.0214644624633654,0.1470496697835158,1
cse,0.7645687645687649,0.9017632241813602,male,"board of secondary education,andhra pradesh","board of intermediate education,andhra pradesh",gen,19925,0.1474057246706043,0.3589743589743588,0,0,1,1,1,1,0,0,0.0231269042986674,0.1714285714285714,0.0103613112847296,0.2569663913785604,0
cse,0.9393939393939394,0.8614609571788414,female,icse,isc,gen,36742,0.4530304407087687,0.9807692307692306,0,0,1,1,1,1,0,0,0.0590286700194559,0.4285714285714285,0.0130329166878551,0.7056965203304033,0
cse,0.7529137529137531,0.8362720403022672,male,rajasthan board,central board,gen,27592,0.2867423898228078,0.628205128205128,0,0,1,1,1,1,0,0,0.0363055688117176,0.1999999999999999,0.0196008589364941,0.4496473545955322,0
cse,0.8834498834498836,0.7858942065491183,female,cbse,cbse,gen,25422,0.2473057701044979,0.8621794871794874,0,0,1,0,1,1,0,0,0.0517051503248779,0.2571428571428571,0.0160380874880637,0.6197890188358781,0
cse,0.7645687645687649,0.6221662468513853,male,cbse,cbse,gen,45479,0.6118128123580191,0.4935897435897434,0,0,1,1,1,1,1,0,0.0271098711501046,0.5714285714285714,0.0173409744414444,0.3515286144137039,0
cse,0.8461538461538463,0.7355163727959699,male,icse,icse,gen,23007,0.2034166288050886,0.0416666666666665,0,10,1,1,1,1,0,0,0.001762049851327,0.4285714285714285,0.0244330296265965,0.0258984994217367,10
cse,0.850815850815851,0.3929471032745595,male,cbse,cbse,gen,24066,0.2226624261699228,0.2916666666666667,0,0,1,1,1,1,1,0,0.017143276678536,0.2285714285714285,0.0199920273367962,0.206961538736327,0
cse,0.8414918414918415,0.6851385390428211,male,c.b.s.e.,c.b.s.e.,gen,18436,0.1203452975920036,0.3269230769230768,0,0,1,0,1,1,0,0,0.0200066076869424,0.3428571428571428,0.0163493745443627,0.232969694225741,0
cse,0.4965034965034964,0.332493702770781,female,cbse,bhopal,gen,21000,0.1669422989550204,0.1955128205128204,0,12,1,1,0,1,0,0,0.0022392716860614,0.0857142857142857,0.0046223160870135,0.1311895170725907,12
cse,0.8088578088578089,0.7052896725440807,male,central board of secondary education,central board of secondary education,gen,52153,0.7331031349386643,0.5641025641025641,0,2,1,1,1,1,0,0,0.0339194596380455,0.4285714285714285,0.0158974800187693,0.4042837793068082,2
cse,0.4685314685314685,0.6448362720403027,male,cbse,cbse,obc,48669,0.6697864606996821,0.1794871794871795,0,4,1,1,0,1,0,0,0.0174002422818545,0.0857142857142857,0.0142040959458435,0.1305995738505118,4
cse,0.9067599067599068,0.8866498740554156,female,cbse,cbse,gen,32430,0.3746660608814175,0.7339743589743588,0,0,1,1,1,1,0,0,0.0435740244484416,0.1999999999999999,0.0143284792106117,0.5267701688294036,0
cse,0.8771561771561771,0.740554156171285,male,cbse,cbse,obc,48830,0.6727124034529759,0.6314102564102566,0,0,1,1,1,1,0,0,0.0379574905473367,0.3428571428571428,0.014532676387334,0.4529611994928849,0
cse,0.4265734265734267,0.1410579345088163,male,cbse,nios,obc,67894,1.0,0.0544871794871795,0,10,1,1,1,1,1,0,0.0044601886861715,0.3142857142857143,0.0158606487376856,0.0364864911511326,10
cse,0.8414918414918415,0.7959697732997484,female,cbse,cbse,gen,22356,0.1915856428895956,0.5480769230769231,0,1,0,0,0,0,0,0,0.0375169780845049,0.0,0.0150473683680159,0.3958043790339846,1
cse,0.7685314685314686,0.6725440806045342,male,cbse,cbse,gen,19009,0.1307587460245343,0.3589743589743588,0,0,1,1,1,1,1,0,0.0211813075878271,0.3999999999999999,0.025703949672119,0.2556389589224034,0
cse,0.6689976689976691,0.5743073047858942,female,cbse board,cbse board,sc,67894,1.0,0.4294871794871795,0,0,1,1,1,1,0,0,0.0252560478690209,0.4285714285714285,0.0081535819101464,0.3065282046082681,0
cse,0.9160839160839164,0.7858942065491183,female,cbse,cbse,gen,33982,0.4028714220808723,0.6891025641025637,0,0,1,1,1,1,1,0,0.0389486435887081,0.4571428571428571,0.0169746555009286,0.4929994715476617,0
cse,0.6363636363636365,0.4181360201511337,male,c.b.s.e,c.b.s.e,gen,22018,0.1854429804634257,0.3589743589743588,0,0,1,1,1,1,0,0,0.0218053669101721,0.6857142857142857,0.0166517930235592,0.2560647391441896,0
ece,0.8993006993006993,0.9035264483627204,male,icse,isc,gen,29181,0.3156201726487961,0.6153846153846152,0,0,1,1,1,1,1,0,0.0363422781836202,0.3142857142857143,0.0176908545695901,0.440925282073376,0
ece,0.8228438228438231,0.5088161209068012,male,icse,cbse,gen,26086,0.2593730122671513,0.2660256410256412,0,0,1,1,1,1,0,0,0.0143900737858374,0.1714285714285714,0.0232397806033331,0.1875888597462771,0
ece,0.557109557109557,0.3929471032745595,male,b.s.e.b,b.s.e.b,gen,25865,0.2553566560654249,0.4147435897435898,0,0,1,1,1,0,1,0,0.0236408355053044,0.1714285714285714,0.0219668207805117,0.2953669990305151,0
ece,0.958041958041958,0.9017632241813602,female,cbse,cbse,gen,19850,0.1460427078600636,0.9999999999999998,0,0,1,1,1,1,0,0,0.0600198230608274,0.4285714285714285,0.0172321597882795,0.7194934371325143,0
