branch,marks10th,marks12th,gender,board10th,board12th,category,gpa_1,rank,normalized_rank,cgpa,current_back,ever_back,gpa_2,gpa_3,gpa_4,gpa_5,gpa_6,olympiads_qualified,technical_projects,tech_quiz,engg_coaching,ntse_scholarships,miscellany_tech_events,average_gpa,engagement_score,gpa_cgpa_ratio,academic_performance_index,total_backlogs
cse,0.990675990675991,0.7254408060453399,male,cbse,cbse,gen,0.021467943138961415,28856.0,0.30971376646978654,0.5224358974358971,0.0,0.0,0.020593579648697763,0.040596919127086004,0.03176470588235293,0.03272251308900523,0.7142857142857144,1,1,0,1,1,0,0.03237766601813441,0.3142857142857143,0.011890073779026886,0.3748037168429871,0.0
cse,0.5151515151515151,0.39118387909319896,female,cbse,state,st,0.010298810559907168,67894.0,1.0,0.3237179487179491,0.0,9.0,0.011659600242277413,0.03401797175866496,0.01705882352941175,0.02212041884816754,0.6419047619047618,0,0,0,0,0,0,0.020667376381190095,0.0,0.009179861518314278,0.23123374073853786,9.0
cse,0.9627039627039626,0.5793450881612092,male,icse,cbse,gen,0.033362344067304914,23949.0,0.2205361199454794,0.8301282051282055,0.0,0.0,0.041944276196244704,0.05198973042362,0.04044117647058823,0.04908376963350784,0.9047619047619047,0,0,0,0,0,0,0.05058551448184717,0.0,0.010583047648702854,0.5971573229823145,0.0
cse,0.7529137529137531,0.8362720403022672,female,icse,cbse,gen,0.025674499564839,28384.0,0.3011358473421172,0.5224358974358971,0.0,0.0,0.018776499091459717,0.04043645699614891,0.029411764705882346,0.03272251308900523,0.7142857142857144,1,1,1,1,0,0,0.03131309423295767,0.34285714285714286,0.016038087488063735,0.3740773858764106,0.0
cse,0.9766899766899768,0.5994962216624684,female,cbse,cbse,gen,0.036698578474035376,26005.0,0.2579009541117674,0.9230769230769231,0.0,0.0,0.04012719563900667,0.06514762516046212,0.05161764705882352,0.0475130890052356,0.9409523809523808,1,1,1,0,1,0,0.05620204838295215,0.34285714285714286,0.010027198248320865,0.6644059535056667,0.0
cse,0.9720279720279721,0.6297229219143576,female,cbse,cbse,gen,0.041050188569770815,52657.0,0.7422626079054976,0.8942307692307689,0.0,0.0,0.03119321623258632,0.06225930680359433,0.05161764705882352,0.04581151832460732,0.9409523809523808,1,1,1,0,1,0,0.05289820491171393,0.34285714285714286,0.014798670670118086,0.6424708064802398,0.0
cse,0.8414918414918415,0.37783375314861467,female,cbse,cbse,gen,0.03162170002901074,28764.0,0.30804179918219,0.528846153846154,0.0,0.0,0.03028467595396729,0.03305519897304236,0.03176470588235293,0.02945026178010471,0.6552380952380952,0,0,0,0,1,0,0.030946000513931177,0.0,0.021601673630712026,0.37820048613119667,0.0
cse,0.8554778554778557,0.4120906801007558,male,cbse,cbse,gen,0.012184508268059183,40000.0,0.5122398909586553,0.19551282051282048,0.0,9.0,0.010902483343428235,0.017971758664955068,0.020735294117647046,0.014725130890052354,0.45333333333333337,1,1,1,1,1,0,0.012022319298116771,0.2857142857142857,0.01752710114907026,0.1378642481964747,9.0
cse,1.0,0.6448362720403027,female,c.b.s.e.,c.b.s.e.,obc,0.03843922251232956,46737.0,0.6346751476601545,0.6602564102564104,0.0,0.0,0.03301029678982435,0.03498074454428754,0.03779411764705881,0.030235602094240824,0.8571428571428572,1,1,1,1,0,0,0.03766381557211554,0.34285714285714286,0.02212695616466713,0.4724418487691909,0.0
cse,0.8321678321678325,0.6700251889168769,female,cbse,cbse,obc,0.02828546562228025,67894.0,1.0,0.653846153846154,0.0,0.0,0.028619018776499097,0.03963414634146341,0.03352941176470586,0.04096858638743456,0.8819047619047617,1,1,0,1,0,0,0.04008663411769023,0.08571428571428572,0.012918160039665866,0.4697213186567597,0.0
cse,0.9160839160839163,0.33249370277078105,male,cbse,cbse,gen,0.007832898172323757,29203.0,0.3160199909132212,0.0737179487179489,0.0,3.0,0.0,0.023587933247753518,0.01617647058823528,0.00981675392670156,0.2857142857142856,1,1,1,1,0,0,0.004919055834954639,0.34285714285714286,0.019025021362698374,0.049920242469955675,3.0
cse,0.8974358974358978,0.49874055415617113,male,cbse,cbse,gen,0.01624601102407891,25768.0,0.253593820990459,0.20833333333333326,0.0,1.0,0.010751059963658383,0.020699614890885745,0.022794117647058812,0.016361256544502614,0.4057142857142857,1,1,1,0,1,0,0.012664733306413115,0.19999999999999998,0.021464462463365447,0.14704966978351589,1.0
